sample_id,tissue,disease,nCells,flPerCell,complexity,entropy,sparsity,meanSNR
TOUCHSTONE_STJ_CP_FFPE_AP_1_WCM_N_R1,AP,normal,43020,4611.729050674106,0.43175267317526733,7.03136264483725,0.0002785768247326825,2.2492574512638535
TOUCHSTONE_STJ_CP_FFPE_AP_2_WCM_N_R1,AP,normal,35621,5349.992806490553,0.48036270739170717,6.957108739654734,0.0006509502821369417,2.3086354932175253
TOUCHSTONE_STJ_CP_FFPE_AP_3_WCM_N_R1,AP,normal,25812,4804.708218270572,0.48458081512474815,7.005890456450524,0.00022397528281419495,2.463815798264287
TOUCHSTONE_STJ_CP_FFPE_AP_4_WCM_N_R1,AP,normal,26212,7649.037615214406,0.5474591790019838,7.5319438642020495,8.524244620784374e-05,2.5858737459735597
TOUCHSTONE_STJ_CP_FFPE_CO_1_WCM_N_R1,CO,normal,31837,5825.483021013286,0.5248924207682885,6.5770609021959805,4.907811665672016e-07,2.3472743153023927
TOUCHSTONE_STJ_CP_FFPE_CO_2_WCM_N_R1,CO,normal,33610,3913.501181196072,0.5025885153228206,5.960856250446527,0.0,2.408503462914311
TOUCHSTONE_STJ_CP_FFPE_CO_3_WCM_N_R1,CO,normal,34640,3580.497731235566,0.533689376443418,5.986953322242547,0.0,2.333789010725061
TOUCHSTONE_STJ_CP_FFPE_IL_1_WCM_N_R1,IL,normal,11661,3218.109417717177,0.411371237458194,5.856208550322103,0.0,2.31965231831452
TOUCHSTONE_STJ_CP_FFPE_IL_2_WCM_N_R1,IL,normal,23757,3724.6561733383846,0.4588542324367555,6.204120566381046,7.695100391463568e-05,2.222932142652943
TOUCHSTONE_STJ_CP_FFPE_IL_3_WCM_N_R1,IL,normal,65784,4463.614871397299,0.4981150431715919,6.568773931971678,6.816817159187644e-05,2.2075013675067
TOUCHSTONE_STJ_CP_FFPE_IL_4_WCM_N_R1,IL,normal,59030,5408.145528883619,0.5135354904285956,6.656982073191787,0.0004055141453498221,2.312392859938841
TOUCHSTONE_STJ_CP_FFPE_PA_10_WCM_N_R1,PA,normal,47193,2700.2553550314665,0.4706206428919543,6.422465305635723,0.004932868751721654,1.8303872752226598
TOUCHSTONE_STJ_CP_FFPE_PA_11_WCM_N_R1,PA,normal,56266,3627.14001670636,0.4770020971812462,6.776067648213394,0.007173792787829239,1.6599887343465445
TOUCHSTONE_STJ_CP_FFPE_PA_12_WCM_N_R1,PA,normal,82123,2449.932238836866,0.4799508054990685,6.395859237228297,0.003681025717521279,1.827912511338804
TOUCHSTONE_STJ_CP_FFPE_PA_1_WCM_N_R1,PA,normal,55824,4696.70765190599,0.5032065061622242,7.00124399470806,0.002644751809257667,1.9251896233071712
TOUCHSTONE_STJ_CP_FFPE_PA_2_WCM_N_R1,PA,normal,75329,4161.026432980658,0.49697991477385867,6.974767743206353,0.0024160681809130614,1.9181262407162767
TOUCHSTONE_STJ_CP_FFPE_PA_3_WCM_N_R1,PA,normal,46800,4220.188362820513,0.4864529914529915,7.090559944560621,0.007337740384615384,1.70760406545927
TOUCHSTONE_STJ_CP_FFPE_PA_4_WCM_N_R1,PA,normal,47804,3955.9873619362397,0.46966781022508575,6.616932704315413,0.002543916304074973,2.057721922290421
TOUCHSTONE_STJ_CP_FFPE_PA_5_WCM_N_R1,PA,normal,64977,3870.0271160564516,0.5104267663942625,6.80781421921552,0.0027675658309863492,1.8445675889922546
TOUCHSTONE_STJ_CP_FFPE_PA_6_WCM_N_R1,PA,normal,62537,4432.812827126342,0.5056366630954475,7.165164087418994,0.004751187297120105,1.6716738007408347
TOUCHSTONE_STJ_CP_FFPE_PA_7_WCM_N_R1,PA,normal,56497,3420.945302759438,0.44451917800945184,6.742389507262117,0.008903404163052905,1.719122359537148
TOUCHSTONE_STJ_CP_FFPE_PA_8_WCM_N_R1,PA,normal,57898,3598.843960585858,0.4866834778403399,6.843684465867321,0.0036659297385056478,1.701569947023848
TOUCHSTONE_STJ_CP_FFPE_PA_9_WCM_N_R1,PA,normal,78893,2561.3028041778102,0.49180535662226055,6.4461615231296845,0.005665307758609762,1.8720792889402493
TOUCHSTONE_STJ_CR_FFPE_PR_1_UOA_C_R1,PR,cancer,66785,2379.042791794565,0.48933143669985774,5.456877813789773,1.4505502732649548e-05,2.1200330087960184
